Text, Codename, Path, 
Camera 7, M1109, View\Camera8, 
Camera 8, M1110, View\Camera9, 
Aft (Back), M1116, View\Orthographic\Aft (Back), 
Bottom, M1113, View\Orthographic\Bottom, 
Front, M1117, View\Orthographic\Front, 
Left, M1114, View\Orthographic\Left, 
Right, M1115, View\Orthographic\Right, 
Top, M1112, View\Orthographic\Top, 
Perspective, M1101, View\Perspective, 
Quality, M1295, Viewport Optimization\Quality, 
Speed, M1294, Viewport Optimization\Speed, 
Load Model B, M1403, VisualCompareLoadModelB, 
, M1402, VisualCompareMode, 
Walk, M1721, Walk, 
World View, M1405, WorldView, 
None, M1716, X-Ray None, 
Selected, M1718, X-Ray Selected, 
Settings..., M1719, X-Ray Settings, 
Unselected, M1717, X-Ray Unselected, 
Zoom to Active Object, M1166, Zoom Active Object, 
Zoom All, M1168, Zoom All, 
Best Fit, M1174, Zoom Best Fit, 
Zoom In, M1175, Zoom In, 
Zoom Out, M1176, Zoom Out, 
Zoom To Active Object, M1411, Zoom To Active Object, 
Zoom Visible, M1167, Zoom Visible, 
Zoom Window, M1705, Zoom Window, 
